population,candidate_name,end_date,da_by_pop
a,Donald Trump,2022-10-16,
a,Donald Trump,2022-10-17,39.0
a,Donald Trump,2022-10-18,
a,Donald Trump,2022-10-19,
a,Donald Trump,2022-10-20,
a,Donald Trump,2022-10-21,
a,Donald Trump,2022-10-22,
a,Donald Trump,2022-10-23,
a,Donald Trump,2022-10-24,
a,Donald Trump,2022-10-25,
a,Donald Trump,2022-10-26,
a,Donald Trump,2022-10-27,
a,Donald Trump,2022-10-28,
a,Donald Trump,2022-10-29,
a,Donald Trump,2022-10-30,
a,Donald Trump,2022-10-31,36.0
a,Donald Trump,2022-11-01,
a,Donald Trump,2022-11-02,53.0
a,Donald Trump,2022-11-03,
a,Donald Trump,2022-11-04,
a,Donald Trump,2022-11-05,
a,Donald Trump,2022-11-06,
a,Donald Trump,2022-11-07,
a,Donald Trump,2022-11-08,
a,Donald Trump,2022-11-09,
a,Donald Trump,2022-11-10,
a,Donald Trump,2022-11-11,
a,Donald Trump,2022-11-12,
a,Donald Trump,2022-11-13,33.0
a,Donald Trump,2022-11-14,
a,Donald Trump,2022-11-15,
a,Donald Trump,2022-11-16,
a,Donald Trump,2022-11-17,
a,Donald Trump,2022-11-18,
a,Donald Trump,2022-11-19,
a,Donald Trump,2022-11-20,47.0
a,Donald Trump,2022-11-21,
a,Donald Trump,2022-11-22,34.0
a,Donald Trump,2022-11-23,
a,Donald Trump,2022-11-24,
a,Donald Trump,2022-11-25,
a,Donald Trump,2022-11-26,
a,Donald Trump,2022-11-27,
a,Donald Trump,2022-11-28,
a,Donald Trump,2022-11-29,
a,Donald Trump,2022-11-30,
a,Donald Trump,2022-12-01,
a,Donald Trump,2022-12-02,
a,Donald Trump,2022-12-03,
a,Donald Trump,2022-12-04,
a,Donald Trump,2022-12-05,35.0
a,Donald Trump,2022-12-06,
a,Donald Trump,2022-12-07,
a,Donald Trump,2022-12-08,
a,Donald Trump,2022-12-09,
a,Donald Trump,2022-12-10,
a,Donald Trump,2022-12-11,
a,Donald Trump,2022-12-12,
a,Donald Trump,2022-12-13,
a,Donald Trump,2022-12-14,
a,Donald Trump,2022-12-15,
a,Donald Trump,2022-12-16,
a,Donald Trump,2022-12-17,
a,Donald Trump,2022-12-18,
a,Donald Trump,2022-12-19,
a,Donald Trump,2022-12-20,
a,Donald Trump,2022-12-21,
a,Donald Trump,2022-12-22,
a,Donald Trump,2022-12-23,
a,Donald Trump,2022-12-24,
a,Donald Trump,2022-12-25,
a,Donald Trump,2022-12-26,
a,Donald Trump,2022-12-27,
a,Donald Trump,2022-12-28,
a,Donald Trump,2022-12-29,
a,Donald Trump,2022-12-30,
a,Donald Trump,2022-12-31,
a,Donald Trump,2023-01-01,
a,Donald Trump,2023-01-02,
a,Donald Trump,2023-01-03,
a,Donald Trump,2023-01-04,
a,Donald Trump,2023-01-05,
a,Donald Trump,2023-01-06,
a,Donald Trump,2023-01-07,
a,Donald Trump,2023-01-08,50.0
a,Donald Trump,2023-01-09,
a,Donald Trump,2023-01-10,
a,Donald Trump,2023-01-11,
a,Donald Trump,2023-01-12,
a,Donald Trump,2023-01-13,
a,Donald Trump,2023-01-14,
a,Donald Trump,2023-01-15,
a,Donald Trump,2023-01-16,
a,Donald Trump,2023-01-17,36.0
a,Donald Trump,2023-01-18,
a,Donald Trump,2023-01-19,
a,Donald Trump,2023-01-20,39.0
a,Donald Trump,2023-01-21,
a,Donald Trump,2023-01-22,
a,Donald Trump,2023-01-23,50.0
a,Donald Trump,2023-01-24,
a,Donald Trump,2023-01-25,
a,Donald Trump,2023-01-26,
a,Donald Trump,2023-01-27,
a,Donald Trump,2023-01-28,
a,Donald Trump,2023-01-29,
a,Donald Trump,2023-01-30,
a,Donald Trump,2023-01-31,
a,Donald Trump,2023-02-01,
a,Donald Trump,2023-02-02,
a,Donald Trump,2023-02-03,
a,Donald Trump,2023-02-04,
a,Donald Trump,2023-02-05,
a,Donald Trump,2023-02-06,43.0
a,Donald Trump,2023-02-07,
a,Donald Trump,2023-02-08,
a,Donald Trump,2023-02-09,
a,Donald Trump,2023-02-10,
a,Donald Trump,2023-02-11,
a,Donald Trump,2023-02-12,
a,Donald Trump,2023-02-13,39.0
a,Donald Trump,2023-02-14,
a,Donald Trump,2023-02-15,
a,Donald Trump,2023-02-16,
a,Donald Trump,2023-02-17,
a,Donald Trump,2023-02-18,
a,Donald Trump,2023-02-19,42.0
a,Donald Trump,2023-02-20,
a,Donald Trump,2023-02-21,45.0
a,Donald Trump,2023-02-22,
a,Donald Trump,2023-02-23,
a,Donald Trump,2023-02-24,
a,Donald Trump,2023-02-25,
a,Donald Trump,2023-02-26,
a,Donald Trump,2023-02-27,38.0
a,Donald Trump,2023-02-28,
a,Donald Trump,2023-03-01,
a,Donald Trump,2023-03-02,
a,Donald Trump,2023-03-03,
a,Donald Trump,2023-03-04,
a,Donald Trump,2023-03-05,
a,Donald Trump,2023-03-06,
a,Donald Trump,2023-03-07,44.0
a,Donald Trump,2023-03-08,
a,Donald Trump,2023-03-09,
a,Donald Trump,2023-03-10,
a,Donald Trump,2023-03-11,
a,Donald Trump,2023-03-12,
a,Donald Trump,2023-03-13,
a,Donald Trump,2023-03-14,
a,Donald Trump,2023-03-15,
a,Donald Trump,2023-03-16,
a,Donald Trump,2023-03-17,
a,Donald Trump,2023-03-18,
a,Donald Trump,2023-03-19,
a,Donald Trump,2023-03-20,27.0
a,Donald Trump,2023-03-21,47.0
a,Donald Trump,2023-03-22,38.0
a,Donald Trump,2023-03-23,
a,Donald Trump,2023-03-24,
a,Donald Trump,2023-03-25,
a,Donald Trump,2023-03-26,
a,Donald Trump,2023-03-27,
a,Donald Trump,2023-03-28,
a,Donald Trump,2023-03-29,32.0
a,Donald Trump,2023-03-30,
a,Donald Trump,2023-03-31,
a,Donald Trump,2023-04-01,
a,Donald Trump,2023-04-02,
a,Donald Trump,2023-04-03,42.0
a,Donald Trump,2023-04-04,40.0
a,Donald Trump,2023-04-05,
a,Donald Trump,2023-04-06,37.0
a,Donald Trump,2023-04-07,
a,Donald Trump,2023-04-08,
a,Donald Trump,2023-04-09,
a,Donald Trump,2023-04-10,
a,Donald Trump,2023-04-11,39.0
a,Donald Trump,2023-04-12,
a,Donald Trump,2023-04-13,
a,Donald Trump,2023-04-14,
a,Donald Trump,2023-04-15,
a,Donald Trump,2023-04-16,
a,Donald Trump,2023-04-17,39.5
a,Donald Trump,2023-04-18,41.0
a,Donald Trump,2023-04-19,
a,Donald Trump,2023-04-20,
a,Donald Trump,2023-04-21,
a,Donald Trump,2023-04-22,
a,Donald Trump,2023-04-23,42.4
a,Donald Trump,2023-04-24,29.0
a,Donald Trump,2023-04-25,
a,Donald Trump,2023-04-26,
a,Donald Trump,2023-04-27,
a,Donald Trump,2023-04-28,
a,Donald Trump,2023-04-29,
a,Donald Trump,2023-04-30,
a,Donald Trump,2023-05-01,42.5
a,Donald Trump,2023-05-02,41.0
a,Donald Trump,2023-05-03,49.0
a,Donald Trump,2023-05-04,
a,Donald Trump,2023-05-05,
a,Donald Trump,2023-05-06,
a,Donald Trump,2023-05-07,
a,Donald Trump,2023-05-08,
a,Donald Trump,2023-05-09,
a,Donald Trump,2023-05-10,
a,Donald Trump,2023-05-11,
a,Donald Trump,2023-05-12,40.8
a,Donald Trump,2023-05-13,
a,Donald Trump,2023-05-14,33.0
a,Donald Trump,2023-05-15,33.666666666666664
a,Donald Trump,2023-05-16,41.0
a,Donald Trump,2023-05-17,
a,Donald Trump,2023-05-18,52.0
a,Donald Trump,2023-05-19,
a,Donald Trump,2023-05-20,
a,Donald Trump,2023-05-21,
a,Donald Trump,2023-05-22,
a,Donald Trump,2023-05-23,38.0
a,Donald Trump,2023-05-24,
a,Donald Trump,2023-05-25,
a,Donald Trump,2023-05-26,
a,Donald Trump,2023-05-27,
a,Donald Trump,2023-05-28,42.9
a,Donald Trump,2023-05-29,
a,Donald Trump,2023-05-30,
a,Donald Trump,2023-05-31,39.0
a,Donald Trump,2023-06-01,44.0
a,Donald Trump,2023-06-02,
a,Donald Trump,2023-06-03,
a,Donald Trump,2023-06-04,
a,Donald Trump,2023-06-05,
a,Donald Trump,2023-06-06,
a,Donald Trump,2023-06-07,
a,Donald Trump,2023-06-08,40.0
a,Donald Trump,2023-06-09,
a,Donald Trump,2023-06-10,
a,Donald Trump,2023-06-11,
a,Donald Trump,2023-06-12,43.0
a,Donald Trump,2023-06-13,39.0
a,Donald Trump,2023-06-14,42.7
a,Donald Trump,2023-06-15,
a,Donald Trump,2023-06-16,
a,Donald Trump,2023-06-17,
a,Donald Trump,2023-06-18,
a,Donald Trump,2023-06-19,
a,Donald Trump,2023-06-20,
